"Region","how much to tip","tip calculator"
"Norfolk-Portsmouth-Newport News VA",36,64
"Cleveland-Akron (Canton) OH",35,65
"Springfield-Holyoke MA",35,65
"Wheeling WV-Steubenville OH",35,65
"Rockford IL",35,65
"Twin Falls ID",35,65
"Providence RI-New Bedford MA",34,66
"Youngstown OH",34,66
"Albuquerque-Santa Fe NM",34,66
"Toledo OH",32,68
"Zanesville OH",32,68
"Mankato MN",32,68
"Lima OH",31,69
"El Paso TX",30,70
"Yuma AZ-El Centro CA",30,70
"Helena MT",29,71
"Casper-Riverton WY",28,72
"Presque Isle ME",27,73
"Laredo TX",24,76
"Alpena MI",0,100
